127.0.0.1 - - [22/Feb/2021:09:04:04 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:04:05 +0900] "GET /board/board/board.html HTTP/1.1" 200 7176
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:04:05 +0900] "GET /board/js/jquery.serializejson.min.js HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:04:05 +0900] "GET /board/js/board.js HTTP/1.1" 200 7185
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:04:05 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:04:06 +0900] "POST /board/List.do HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:42 +0900] "GET /board/board/board.html HTTP/1.1" 200 7176
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:42 +0900] "GET /board/js/jquery.serializejson.min.js HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:42 +0900] "GET /board/js/board.js HTTP/1.1" 200 7933
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:42 +0900] "GET /board/board/board.html HTTP/1.1" 200 7176
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:42 +0900] "GET /board/js/board.js HTTP/1.1" 200 7933
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:42 +0900] "GET /board/js/jquery.serializejson.min.js HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "GET /board/board/board.html HTTP/1.1" 200 7176
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "GET /board/js/board.js HTTP/1.1" 200 7933
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "GET /board/js/jquery.serializejson.min.js HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "GET /board/board/board.html HTTP/1.1" 200 7176
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "GET /board/js/board.js HTTP/1.1" 200 7933
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "GET /board/js/jquery.serializejson.min.js HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "GET /board/board/board.html HTTP/1.1" 200 7176
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "GET /board/js/jquery.serializejson.min.js HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "GET /board/js/board.js HTTP/1.1" 200 7933
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "GET /board/board/board.html HTTP/1.1" 200 7176
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "GET /board/js/jquery.serializejson.min.js HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "GET /board/js/board.js HTTP/1.1" 200 7933
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:43 +0900] "POST /board/List.do HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:45 +0900] "GET /board/UpdateHit.do?num=28 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:47 +0900] "GET /board/UpdateHit.do?num=29 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:49 +0900] "GET /board/UpdateHit.do?num=27 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:52 +0900] "GET /board/UpdateHit.do?num=23 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:54 +0900] "GET /board/UpdateHit.do?num=28 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:57 +0900] "POST /board/InsertReply.do HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:31:57 +0900] "GET /board/ListReply.do?bonum=28 HTTP/1.1" 200 405
