127.0.0.1 - - [24/Feb/2021:09:02:51 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:02:52 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6692
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:02:53 +0900] "GET /board/images/gsjLogo2.png HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:02:53 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:15 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:15 +0900] "GET /board/images/gsjLogo2.png HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:15 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:17 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:18 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:18 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:18 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:18 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:19 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:19 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:19 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:19 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:19 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:21 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:21 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:22 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:22 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:22 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:22 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:22 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:23 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:23 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:23 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:23 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:23 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:23 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:24 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:24 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:24 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:24 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:24 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:25 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:25 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:25 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:13:25 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:18:58 +0900] "GET /board/board/board.html HTTP/1.1" 200 10489
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:18:58 +0900] "GET /board/js/jquery.serializejson.min.js HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:18:58 +0900] "GET /board/js/board.js HTTP/1.1" 200 8589
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:18:59 +0900] "POST /board/List.do HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:19:13 +0900] "GET /board/UpdateHit.do?num=28 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:19:13 +0900] "GET /board/ListReply.do?bonum=28 HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:19:32 +0900] "GET /board/ListReply.do?bonum=28 HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:19:33 +0900] "GET /board/UpdateHit.do?num=28 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:19:33 +0900] "GET /board/ListReply.do?bonum=28 HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:19:52 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:19:52 +0900] "GET /board/images/gsjLogo2.png HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:19:52 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:20:08 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:26:02 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6851
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:26:02 +0900] "GET /board/images/gsjLogo2.png HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:26:03 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:26:23 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6851
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:26:24 +0900] "GET /board/images/gsjLogo2.png HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:26:24 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:26:24 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6851
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:26:25 +0900] "GET /board/images/gsjLogo2.png HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:26:25 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:35:05 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:35:05 +0900] "GET /board/images/gsjLogo2.png HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:35:06 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:35:18 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:35:23 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:35:24 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:35:24 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:35:24 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:35:24 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:35:24 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:35:25 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:35:25 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:45:06 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7217
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:45:06 +0900] "GET /board/images/gsjLogo2.png HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:45:07 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:45:30 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7217
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:45:55 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:45:55 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:45:55 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:45:56 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:45:56 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:45:56 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:45:56 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:45:56 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:45:57 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:48:19 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7144
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:48:19 +0900] "GET /board/images/gsjLogo2.png HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:48:20 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:49:07 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 7144
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:49:07 +0900] "GET /board/images/gsjLogo2.png HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [24/Feb/2021:09:49:07 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:35 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:35 +0900] "GET /board/images/gsjLogo2.png HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:36 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:41 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:41 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:41 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:42 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:42 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:42 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:42 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:42 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:42 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:43 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:43 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:49 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:49 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:49 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:50 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:50 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:50 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:50 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:50 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:51 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:51 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:07:51 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:08:06 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:08:44 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6736
0:0:0:0:0:0:0:1 - - [24/Feb/2021:10:08:44 +0900] "GET /board/webpage/main.jsp HTTP/1.1" 200 6736
